# Total Data Received Average Delay
# simtime, appTotalDataReceivedAvgDelay
100.000000, 0.000000
200.000000, 32.659525
300.000000, 59.539315
400.000000, 59.109623
500.000000, 58.721969
600.000000, 80.377696
700.000000, 111.740886
800.000000, 177.211273
900.000000, 274.590003
1000.000000, 274.590003
1100.000000, 274.590003
1200.000000, 274.590003
1300.000000, 274.590003
1400.000000, 310.163519
1500.000000, 452.960552
1600.000000, 449.119376
1700.000000, 447.316519
1800.000000, 451.104642
1900.000000, 445.654310
2000.000000, 445.301544
2100.000000, 432.055907
2200.000000, 426.886080
2300.000000, 399.713297
2400.000000, 404.707014
2500.000000, 404.880865
2600.000000, 404.880865
2700.000000, 404.880865
2800.000000, 404.880865
2900.000000, 407.900312
3000.000000, 404.338889
3100.000000, 398.459902
3200.000000, 396.931525
3300.000000, 361.900856
3400.000000, 357.220426
3500.000000, 359.405488
3600.000000, 359.405488
3700.000000, 359.405488
3800.000000, 359.405488
3900.000000, 359.405488
4000.000000, 359.405488
4100.000000, 359.405488
4200.000000, 351.804647
4300.000000, 345.689650
4400.000000, 345.724909
4500.000000, 345.724909
4600.000000, 345.724909
4700.000000, 345.724909
4800.000000, 335.254200
4900.000000, 332.806690
5000.000000, 332.806690
5100.000000, 332.722715
5200.000000, 332.722715
5300.000000, 332.592376
5400.000000, 332.592376
5500.000000, 332.592376
5600.000000, 341.836688
5700.000000, 332.073425
5800.000000, 332.073425
5900.000000, 331.876104
6000.000000, 318.325487
6100.000000, 316.587477
6200.000000, 317.967774
6300.000000, 312.031961
6400.000000, 311.887166
6500.000000, 311.763048
6600.000000, 311.763048
6700.000000, 311.763048
6800.000000, 313.172689
6900.000000, 308.764960
7000.000000, 308.019201
7100.000000, 307.858085
7200.000000, 309.469742
7300.000000, 307.667717
7400.000000, 308.004767
7500.000000, 307.243849
7600.000000, 307.206904
7700.000000, 307.486072
7800.000000, 307.750689
7900.000000, 306.784615
8000.000000, 306.784615
8100.000000, 306.784615
8200.000000, 306.784615
8300.000000, 307.299432
8400.000000, 307.299432
8500.000000, 307.299432
8600.000000, 306.916951
8700.000000, 306.861431
8800.000000, 306.861431
8900.000000, 306.861431
9000.000000, 306.861431
9100.000000, 306.861431
9200.000000, 306.861431
9300.000000, 306.861431
9400.000000, 306.861431
9500.000000, 306.861431
9600.000000, 306.861431
9700.000000, 306.861431
9800.000000, 306.861431
9900.000000, 306.827862
10000.000000, 306.827862
10100.000000, 306.827862
10200.000000, 306.245023
10300.000000, 305.166103
10400.000000, 304.691039
10500.000000, 305.545327
10600.000000, 305.949487
10700.000000, 305.949487
10800.000000, 305.949487
10900.000000, 305.949487
11000.000000, 306.784663
11100.000000, 312.198620
11200.000000, 324.850500
11300.000000, 325.244320
11400.000000, 325.244320
11500.000000, 325.244320
11600.000000, 325.244320
11700.000000, 319.627086
11800.000000, 316.618658
11900.000000, 316.585603
12000.000000, 316.585603
12100.000000, 316.585603
12200.000000, 316.585603
12300.000000, 312.197874
12400.000000, 312.049815
12500.000000, 312.049815
12600.000000, 310.676078
12700.000000, 305.619806
12800.000000, 305.011566
12900.000000, 304.823338
13000.000000, 304.823338
13100.000000, 304.823338
13200.000000, 304.648333
13300.000000, 304.395983
13400.000000, 304.395983
13500.000000, 303.052807
13600.000000, 301.273318
13700.000000, 301.273318
13800.000000, 301.273318
13900.000000, 300.989543
14000.000000, 301.577873
14100.000000, 317.204865
14200.000000, 329.208432
14300.000000, 329.129620
14400.000000, 330.543874
14500.000000, 330.209299
14600.000000, 330.209299
14700.000000, 330.302473
14800.000000, 330.402000
14900.000000, 330.542177
15000.000000, 327.964478
15100.000000, 326.902055
15200.000000, 328.398140
15300.000000, 350.696669
15400.000000, 361.402848
15500.000000, 363.561505
15600.000000, 365.670641
15700.000000, 367.589793
15800.000000, 372.728218
15900.000000, 394.388485
16000.000000, 410.460034
16100.000000, 410.460034
16200.000000, 411.597450
16300.000000, 412.464726
16400.000000, 413.736940
16500.000000, 422.362717
16600.000000, 425.956085
16700.000000, 425.956085
16800.000000, 425.956085
16900.000000, 425.956085
17000.000000, 425.956085
17100.000000, 425.956085
17200.000000, 425.956085
17300.000000, 425.956085
17400.000000, 425.717800
17500.000000, 418.921462
17600.000000, 419.055520
17700.000000, 442.141739
17800.000000, 439.448291
17900.000000, 439.910374
18000.000000, 439.392209
18100.000000, 433.065868
18200.000000, 430.372642
18300.000000, 428.618936
18400.000000, 443.350033
18500.000000, 443.350033
18600.000000, 443.362606
18700.000000, 443.388803
18800.000000, 447.876464
18900.000000, 450.172154
19000.000000, 455.924164
19100.000000, 455.924164
19200.000000, 454.484202
19300.000000, 452.886473
19400.000000, 452.741637
19500.000000, 452.586856
19600.000000, 452.836236
19700.000000, 459.808465
19800.000000, 476.448228
19900.000000, 505.036182
20000.000000, 505.944802
20100.000000, 504.523961
20200.000000, 500.579394
20300.000000, 501.142805
20400.000000, 496.551159
20500.000000, 496.200978
20600.000000, 496.475665
20700.000000, 498.311924
20800.000000, 518.126894
20900.000000, 522.762880
21000.000000, 523.377119
21100.000000, 524.374505
21200.000000, 524.374505
21300.000000, 524.374505
21400.000000, 524.312684
21500.000000, 527.301355
21600.000000, 563.936191
21700.000000, 584.535280
21800.000000, 584.535280
21900.000000, 597.363565
22000.000000, 600.396412
22100.000000, 600.307981
22200.000000, 599.987855
22300.000000, 593.885857
22400.000000, 593.852531
22500.000000, 593.772706
22600.000000, 593.619718
22700.000000, 593.295325
22800.000000, 593.295325
22900.000000, 594.835034
23000.000000, 594.756292
23100.000000, 586.008621
