# Total Bytes Sent
# simtime, fwdTotalBytesSent
23800.000000, 4236639705
23900.000000, 4237206647
24000.000000, 4603628649
24100.000000, 4687728285
24200.000000, 4796057638
24300.000000, 4848894685
24400.000000, 4896137249
24500.000000, 4898601732
24600.000000, 4902349566
24700.000000, 4915081255
24800.000000, 4916107834
24900.000000, 5049796870
25000.000000, 5090497915
25100.000000, 5162973269
25200.000000, 5202497356
25300.000000, 5206201479
25400.000000, 5206258375
25500.000000, 5208027435
25600.000000, 5226447520
25700.000000, 5227371845
25800.000000, 5244963004
25900.000000, 5368742372
26000.000000, 5392075232
26100.000000, 5403282150
26200.000000, 5428575614
26300.000000, 5431729832
26400.000000, 5440246373
26500.000000, 5470246729
26600.000000, 5515757204
26700.000000, 5527824467
26800.000000, 5589389421
26900.000000, 5598054033
27000.000000, 5601399783
27100.000000, 5620807830
27200.000000, 5620981823
27300.000000, 5622676727
27400.000000, 5690803653
27500.000000, 5693903549
27600.000000, 5696639177
27700.000000, 5699780283
27800.000000, 5699893831
27900.000000, 5701537235
28000.000000, 5704709227
28100.000000, 5704828695
28200.000000, 5706846798
28300.000000, 5730558872
28400.000000, 5730686960
28500.000000, 5741539367
28600.000000, 5744844973
28700.000000, 5800971817
28800.000000, 6311260347
28900.000000, 6385290038
29000.000000, 6444515858
29100.000000, 6562392864
29200.000000, 6658747557
29300.000000, 6675701178
29400.000000, 6677875694
29500.000000, 6689300825
29600.000000, 6797454647
29700.000000, 6810372313
29800.000000, 6843313527
29900.000000, 6843553493
30000.000000, 6873313294
30100.000000, 7003476564
30200.000000, 7051598553
30300.000000, 7058783223
30400.000000, 7072210389
30500.000000, 7089717561
30600.000000, 7098988993
30700.000000, 7259846030
30800.000000, 7273787693
30900.000000, 7332294621
31000.000000, 7409539638
31100.000000, 7431988104
31200.000000, 7557138637
31300.000000, 9843632045
31400.000000, 12572182663
31500.000000, 12815109909
31600.000000, 13116048546
31700.000000, 13267340224
31800.000000, 13564436293
31900.000000, 13885580127
32000.000000, 14055341583
32100.000000, 14206603377
32200.000000, 14368775265
32300.000000, 14527045602
32400.000000, 14687322168
32500.000000, 14857086537
32600.000000, 15004564820
32700.000000, 15130270252
32800.000000, 15254554989
32900.000000, 15371900005
33000.000000, 15590503030
33100.000000, 15849112075
33200.000000, 16033390003
33300.000000, 16079697710
33400.000000, 16224438073
33500.000000, 16398788477
33600.000000, 16532604688
33700.000000, 16646467013
33800.000000, 16798058384
33900.000000, 16889438271
34000.000000, 16999841362
34100.000000, 17171551319
34200.000000, 17226154025
34300.000000, 17396503889
34400.000000, 18166737083
34500.000000, 19494335991
34600.000000, 22021182368
34700.000000, 22311933880
34800.000000, 22382727290
34900.000000, 22767516638
35000.000000, 22912292253
35100.000000, 23273406253
35200.000000, 23458037494
35300.000000, 23591111838
35400.000000, 23684719966
35500.000000, 23762481490
35600.000000, 23827350553
35700.000000, 23863941860
35800.000000, 24018920586
35900.000000, 25493727478
36000.000000, 25586992795
36100.000000, 25720103279
36200.000000, 27681127933
36300.000000, 28229645069
36400.000000, 28844287829
36500.000000, 29007859539
36600.000000, 29056005706
36700.000000, 29106053660
36800.000000, 29140263396
36900.000000, 29183342336
37000.000000, 29219860246
37100.000000, 29244709401
37200.000000, 29278065913
37300.000000, 29327123562
37400.000000, 29372966101
37500.000000, 29488516348
37600.000000, 29528850285
37700.000000, 29591252643
37800.000000, 29630933142
37900.000000, 29655244546
38000.000000, 29686364471
38100.000000, 29705906134
38200.000000, 29725322079
38300.000000, 29751639644
38400.000000, 29774882757
38500.000000, 29798874093
38600.000000, 29851145607
38700.000000, 30149617516
38800.000000, 30233413439
38900.000000, 30297596272
39000.000000, 30345083464
39100.000000, 30375183331
39200.000000, 30427258640
39300.000000, 30503466569
39400.000000, 30535358281
39500.000000, 30585296122
39600.000000, 30655304184
39700.000000, 30691826605
39800.000000, 30740016866
39900.000000, 30792981212
40000.000000, 30847586966
40100.000000, 30904915932
40200.000000, 30972119786
40300.000000, 31029793116
40400.000000, 31114208724
40500.000000, 31188201010
40600.000000, 31318702025
40700.000000, 31400211645
40800.000000, 31437718258
40900.000000, 31455278887
41000.000000, 31475522793
41100.000000, 31515528325
41200.000000, 31549960048
41300.000000, 31638631074
41400.000000, 31762323268
41500.000000, 31801603821
41600.000000, 31887117340
41700.000000, 32163573776
41800.000000, 32347727577
41900.000000, 32393499483
42000.000000, 32573969587
42100.000000, 32867445404
42200.000000, 33015822628
42300.000000, 33091921846
42400.000000, 33235659636
42500.000000, 33259215394
42600.000000, 33294179793
42700.000000, 33313852547
42800.000000, 33337545373
42900.000000, 33377327366
43000.000000, 33443513208
43100.000000, 33511053378
43200.000000, 34149859253
43300.000000, 34389484198
43400.000000, 35019546900
43500.000000, 35417204074
43600.000000, 35568193210
43700.000000, 35701572595
43800.000000, 36068958445
43900.000000, 36357560925
44000.000000, 36457072772
44100.000000, 36566728089
44200.000000, 36721820468
44300.000000, 36898366153
44400.000000, 37076074782
44500.000000, 37246747678
44600.000000, 37420271451
44700.000000, 37744920345
44800.000000, 38203975731
44900.000000, 38871295722
45000.000000, 39559359677
45100.000000, 39975273256
45200.000000, 40301109079
45300.000000, 40662427677
45400.000000, 40858076838
45500.000000, 41422894557
45600.000000, 41503243628
45700.000000, 41613584239
45800.000000, 41882861575
45900.000000, 41988128300
46000.000000, 42102635195
46100.000000, 42232364266
46200.000000, 42371097152
46300.000000, 42655285970
46400.000000, 43314405266
46500.000000, 44030624463
46600.000000, 44299183050
46700.000000, 44918017619
46800.000000, 45363757724
46900.000000, 46266454400
47000.000000, 47098435341
47100.000000, 47745553059
47200.000000, 47935925307
47300.000000, 48080402823
47400.000000, 48252456314
47500.000000, 48588137943
47600.000000, 49001714993
47700.000000, 49290927872
47800.000000, 49601173365
47900.000000, 49804974703
48000.000000, 50268604772
48100.000000, 50461425405
48200.000000, 50864817225
48300.000000, 51040975314
48400.000000, 51126774859
48500.000000, 51434430066
48600.000000, 52522177921
48700.000000, 56755486245
48800.000000, 58833753632
48900.000000, 59514801120
49000.000000, 59949168846
49100.000000, 60586295464
49200.000000, 60954614880
49300.000000, 61472177954
49400.000000, 61644608071
49500.000000, 61917707176
49600.000000, 62009575096
49700.000000, 62166560443
49800.000000, 62250681113
49900.000000, 62324390951
50000.000000, 62488863264
50100.000000, 62747164650
50200.000000, 63415296738
50300.000000, 64864809606
50400.000000, 67346113278
50500.000000, 67934710939
50600.000000, 68807823997
50700.000000, 69556648403
50800.000000, 69642353154
50900.000000, 69874007109
51000.000000, 69977110219
51100.000000, 70072756224
51200.000000, 70284604015
51300.000000, 70560674922
51400.000000, 70684131685
51500.000000, 71227696088
51600.000000, 71903497120
51700.000000, 72008708068
51800.000000, 72117064541
51900.000000, 72400505995
52000.000000, 72496420296
52100.000000, 72622152823
52200.000000, 72701367953
52300.000000, 72779394104
52400.000000, 72842608353
52500.000000, 72958051570
52600.000000, 73028288874
52700.000000, 73060854311
52800.000000, 73116507040
52900.000000, 73184472176
53000.000000, 73210744676
53100.000000, 73262758399
53200.000000, 73300915410
53300.000000, 73342335060
53400.000000, 73380449628
53500.000000, 73406978607
53600.000000, 73445564159
53700.000000, 73477424062
