0,54000,200,50000,1200,7200,18000,21600
54001,64800,200,50000,900,7200,6000,7000
64801,66600,200,50000,900,7200,3600,4800
66601,75600,200,50000,900,7200,6000,7000
75601,79200,200,50000,900,7200,3600,4800
79201,90000,200,50000,900,7200,6000,7000
90001,140400,200,50000,900,7200,18000,21600
140400,151200,200,50000,900,7200,6000,7000
151201,153000,200,50000,900,7200,3600,4800
153001,162000,200,50000,900,7200,6000,7000
162001,165600,200,50000,900,7200,3600,4800
165601,176400,200,50000,900,7200,6000,7000
176401,234000,200,50000,900,7200,18000,21600
234001,262800,200,50000,900,7200,10000,12000
262801,320400,200,50000,900,7200,18000,21600
320401,349200,200,50000,900,7200,10000,12000
349201,399600,200,50000,900,7200,18000,21600
399601,410400,200,50000,900,7200,6000,7000
410401,412200,200,50000,900,7200,3600,4800
412201,421200,200,50000,900,7200,6000,7000
421201,424800,200,50000,900,7200,3600,4800
424801,435600,200,50000,900,7200,6000,7000
435601,486000,200,50000,900,7200,18000,21600
486001,496800,200,50000,900,7200,6000,7000
496801,498600,200,50000,900,7200,3600,4800
498601,507600,200,50000,900,7200,6000,7000
507601,511200,200,50000,900,7200,3600,4800
511201,522000,200,50000,900,7200,6000,7000
522000,572400,200,50000,900,7200,18000,21600
572401,583200,200,50000,900,7200,6000,7000
583201,585000,200,50000,900,7200,3600,4800
585001,594000,200,50000,900,7200,6000,7000
594001,597600,200,50000,900,7200,3600,4800
597601,608400,200,50000,900,7200,6000,7000


 
