# Average Contact Duration
# simtime, linkAvgContactDuration
100.000000, 10.863636
200.000000, 9.634731
300.000000, 9.975709
400.000000, 10.183582
500.000000, 10.620146
600.000000, 11.454639
700.000000, 11.275221
800.000000, 10.932256
900.000000, 10.713311
1000.000000, 10.401709
1100.000000, 10.168589
1200.000000, 10.936645
1300.000000, 10.815010
1400.000000, 10.929856
1500.000000, 11.058269
1600.000000, 12.101302
1700.000000, 12.918304
1800.000000, 13.190267
1900.000000, 13.065470
2000.000000, 13.021233
2100.000000, 13.072265
2200.000000, 13.298246
2300.000000, 14.160339
2400.000000, 15.915408
2500.000000, 16.134036
2600.000000, 15.892176
2700.000000, 16.486223
2800.000000, 17.030790
2900.000000, 17.382016
3000.000000, 17.560689
3100.000000, 18.119601
3200.000000, 17.998247
3300.000000, 18.086935
3400.000000, 17.875691
3500.000000, 17.987034
3600.000000, 18.575485
3700.000000, 19.857240
3800.000000, 20.463790
3900.000000, 20.425597
4000.000000, 21.499254
4100.000000, 23.139180
4200.000000, 24.941813
4300.000000, 27.270195
4400.000000, 27.636805
4500.000000, 27.455905
4600.000000, 28.202572
4700.000000, 30.360437
4800.000000, 32.367902
4900.000000, 32.026264
5000.000000, 32.321681
5100.000000, 31.824029
5200.000000, 31.518233
5300.000000, 31.395703
5400.000000, 32.712162
5500.000000, 33.819869
5600.000000, 34.369713
5700.000000, 34.959905
5800.000000, 35.700801
5900.000000, 36.642426
6000.000000, 38.636975
6100.000000, 39.464920
6200.000000, 39.192216
6300.000000, 38.886922
6400.000000, 39.495611
6500.000000, 39.145388
6600.000000, 40.536074
6700.000000, 39.980635
6800.000000, 40.396417
6900.000000, 40.257834
7000.000000, 40.754950
7100.000000, 41.537196
7200.000000, 40.952020
7300.000000, 40.860673
7400.000000, 42.025150
7500.000000, 42.324448
7600.000000, 42.808619
7700.000000, 42.916481
7800.000000, 44.151564
7900.000000, 43.766379
8000.000000, 43.560859
8100.000000, 44.325187
8200.000000, 44.656874
8300.000000, 44.992791
8400.000000, 45.587795
8500.000000, 45.144954
8600.000000, 45.725961
8700.000000, 45.785928
8800.000000, 45.338642
8900.000000, 49.162123
9000.000000, 48.833265
9100.000000, 49.910927
9200.000000, 51.087475
9300.000000, 50.907058
9400.000000, 50.667724
9500.000000, 51.654156
9600.000000, 53.906790
9700.000000, 54.332407
9800.000000, 57.554797
9900.000000, 58.905218
10000.000000, 60.152795
10100.000000, 62.413094
10200.000000, 62.781059
10300.000000, 65.737782
10400.000000, 67.269381
10500.000000, 67.603327
10600.000000, 69.637200
10700.000000, 68.959624
10800.000000, 69.660538
10900.000000, 69.924083
11000.000000, 70.690486
11100.000000, 72.988921
11200.000000, 74.060642
11300.000000, 74.076185
11400.000000, 76.743283
11500.000000, 76.519024
11600.000000, 77.525918
11700.000000, 79.276907
11800.000000, 80.316659
11900.000000, 80.203118
12000.000000, 79.714471
12100.000000, 82.826840
12200.000000, 84.412679
12300.000000, 83.743515
12400.000000, 84.133462
12500.000000, 84.372205
12600.000000, 84.815813
12700.000000, 84.165510
12800.000000, 83.552619
12900.000000, 85.017914
13000.000000, 85.951353
13100.000000, 87.526054
13200.000000, 87.319779
13300.000000, 86.299957
13400.000000, 86.358112
13500.000000, 87.315252
13600.000000, 88.337284
13700.000000, 89.542335
13800.000000, 89.424163
13900.000000, 90.786304
14000.000000, 90.961574
14100.000000, 90.430852
14200.000000, 90.993171
14300.000000, 91.221632
14400.000000, 91.451951
14500.000000, 93.173340
14600.000000, 95.073887
14700.000000, 95.405713
14800.000000, 96.212150
14900.000000, 96.270449
15000.000000, 96.881530
15100.000000, 96.754203
15200.000000, 98.041515
15300.000000, 98.780753
15400.000000, 97.854973
15500.000000, 96.978658
15600.000000, 97.098806
15700.000000, 96.822081
15800.000000, 95.941992
15900.000000, 96.142574
16000.000000, 95.847130
16100.000000, 96.116264
16200.000000, 96.094790
16300.000000, 95.432083
16400.000000, 94.749868
16500.000000, 94.467851
16600.000000, 94.124335
16700.000000, 93.564008
16800.000000, 93.952606
16900.000000, 93.333109
17000.000000, 92.884201
17100.000000, 92.223210
17200.000000, 93.664180
17300.000000, 93.479954
17400.000000, 94.351201
17500.000000, 93.618790
17600.000000, 93.058975
17700.000000, 92.797242
17800.000000, 92.298979
17900.000000, 92.584805
18000.000000, 91.988519
18100.000000, 91.415963
18200.000000, 91.017246
18300.000000, 90.583487
18400.000000, 90.730035
18500.000000, 90.635206
18600.000000, 90.322466
18700.000000, 89.926063
18800.000000, 89.490696
18900.000000, 89.121752
19000.000000, 88.719548
19100.000000, 89.612959
19200.000000, 89.221951
19300.000000, 88.851986
19400.000000, 88.535745
19500.000000, 88.081704
19600.000000, 87.815745
19700.000000, 88.260817
19800.000000, 87.933597
19900.000000, 88.160151
20000.000000, 87.617784
20100.000000, 87.208522
20200.000000, 86.755697
20300.000000, 86.549851
20400.000000, 86.652812
20500.000000, 86.370705
20600.000000, 86.166507
20700.000000, 85.673011
20800.000000, 85.346380
20900.000000, 85.032056
21000.000000, 84.598300
21100.000000, 84.189778
21200.000000, 83.675588
21300.000000, 83.187510
21400.000000, 82.753283
21500.000000, 82.383892
21600.000000, 81.997370
21700.000000, 81.579854
21800.000000, 81.218746
21900.000000, 80.780666
22000.000000, 80.356262
22100.000000, 79.952503
22200.000000, 79.411844
22300.000000, 79.917006
22400.000000, 79.960986
22500.000000, 79.574915
22600.000000, 80.097829
22700.000000, 79.837248
22800.000000, 80.673385
22900.000000, 80.263574
23000.000000, 79.857131
23100.000000, 79.607490
23200.000000, 79.301421
23300.000000, 79.035754
23400.000000, 78.753481
23500.000000, 78.358414
23600.000000, 78.058574
23700.000000, 79.052347
23800.000000, 78.885353
23900.000000, 78.642941
24000.000000, 78.454208
24100.000000, 78.485550
24200.000000, 79.281080
24300.000000, 79.086131
24400.000000, 78.755361
24500.000000, 78.325636
24600.000000, 78.015734
24700.000000, 77.682372
24800.000000, 77.366927
24900.000000, 77.226951
25000.000000, 76.845627
25100.000000, 76.678848
25200.000000, 76.983779
25300.000000, 76.743707
25400.000000, 76.492331
25500.000000, 76.299257
25600.000000, 75.895916
25700.000000, 76.097376
25800.000000, 75.771441
25900.000000, 75.565526
26000.000000, 75.225940
26100.000000, 74.871593
26200.000000, 74.760758
26300.000000, 74.442603
26400.000000, 74.110050
26500.000000, 73.955939
26600.000000, 73.762407
26700.000000, 73.423034
26800.000000, 73.178733
26900.000000, 73.077430
27000.000000, 72.837221
27100.000000, 72.752343
27200.000000, 72.459847
27300.000000, 72.228350
27400.000000, 71.950124
27500.000000, 71.805279
27600.000000, 71.751531
27700.000000, 71.485772
27800.000000, 71.697152
27900.000000, 71.475829
28000.000000, 71.294546
28100.000000, 70.996671
28200.000000, 70.705471
28300.000000, 70.973019
28400.000000, 70.710616
28500.000000, 70.447422
28600.000000, 70.226052
28700.000000, 69.933512
28800.000000, 69.709671
28900.000000, 69.468522
29000.000000, 69.255860
29100.000000, 68.915106
29200.000000, 68.922095
29300.000000, 68.593858
29400.000000, 68.405381
29500.000000, 68.086934
29600.000000, 67.896663
29700.000000, 67.751567
29800.000000, 67.488950
29900.000000, 67.280594
30000.000000, 67.330555
30100.000000, 67.073855
30200.000000, 66.940541
30300.000000, 66.645687
30400.000000, 66.370656
30500.000000, 66.362801
30600.000000, 66.075052
30700.000000, 65.852089
30800.000000, 66.116571
30900.000000, 65.816344
31000.000000, 65.598530
31100.000000, 65.370244
31200.000000, 65.151364
31300.000000, 64.959897
31400.000000, 64.745513
31500.000000, 64.527891
31600.000000, 64.863136
31700.000000, 64.641253
31800.000000, 64.445322
31900.000000, 64.251113
32000.000000, 64.217768
32100.000000, 64.016210
32200.000000, 63.875380
32300.000000, 63.750604
32400.000000, 63.586950
32500.000000, 63.552726
32600.000000, 63.485187
32700.000000, 63.274373
32800.000000, 63.086216
32900.000000, 62.924907
33000.000000, 62.738140
33100.000000, 62.533574
33200.000000, 62.311317
33300.000000, 62.139821
33400.000000, 61.943451
33500.000000, 61.774395
33600.000000, 61.640897
33700.000000, 61.500705
33800.000000, 61.282577
33900.000000, 61.225610
34000.000000, 61.131407
34100.000000, 60.999446
34200.000000, 60.819900
34300.000000, 60.601072
34400.000000, 60.430221
34500.000000, 60.245700
34600.000000, 60.043561
34700.000000, 59.776890
34800.000000, 59.628931
34900.000000, 59.515175
35000.000000, 59.366812
35100.000000, 59.252034
35200.000000, 59.078977
35300.000000, 58.931460
35400.000000, 58.788229
35500.000000, 58.627836
35600.000000, 58.489822
35700.000000, 58.363346
35800.000000, 58.216931
35900.000000, 58.121067
36000.000000, 58.041869
36100.000000, 57.874356
36200.000000, 57.713290
36300.000000, 57.555358
36400.000000, 57.460002
36500.000000, 57.352036
36600.000000, 57.232203
36700.000000, 57.084884
36800.000000, 56.986960
36900.000000, 56.886258
37000.000000, 56.731705
37100.000000, 56.556631
37200.000000, 56.406972
37300.000000, 56.288457
37400.000000, 56.184295
37500.000000, 56.063055
37600.000000, 55.939325
37700.000000, 55.803070
37800.000000, 55.676926
37900.000000, 55.556245
38000.000000, 55.462774
38100.000000, 55.332552
38200.000000, 55.228832
38300.000000, 55.105582
38400.000000, 55.490361
38500.000000, 55.369129
38600.000000, 55.269534
38700.000000, 55.164620
38800.000000, 55.042239
38900.000000, 54.933968
39000.000000, 54.820373
39100.000000, 54.737811
39200.000000, 54.622341
39300.000000, 54.527216
39400.000000, 54.458897
39500.000000, 54.353235
39600.000000, 54.278566
39700.000000, 54.148146
39800.000000, 54.056626
39900.000000, 53.957130
40000.000000, 53.837349
40100.000000, 53.877122
40200.000000, 54.019375
40300.000000, 54.119090
40400.000000, 54.475533
40500.000000, 54.885365
40600.000000, 54.792558
40700.000000, 55.725589
40800.000000, 56.079427
40900.000000, 56.111663
41000.000000, 56.921267
41100.000000, 56.810360
41200.000000, 56.831053
41300.000000, 57.093845
41400.000000, 56.997066
41500.000000, 56.920930
41600.000000, 56.817850
41700.000000, 56.719047
41800.000000, 56.871113
41900.000000, 56.760369
42000.000000, 56.663855
42100.000000, 56.550425
42200.000000, 56.473022
42300.000000, 56.365497
42400.000000, 56.260397
42500.000000, 56.151482
42600.000000, 56.031736
42700.000000, 55.906525
42800.000000, 55.993917
42900.000000, 55.897168
43000.000000, 55.814941
43100.000000, 56.193733
43200.000000, 56.079481
43300.000000, 55.980823
43400.000000, 55.917439
43500.000000, 55.825766
43600.000000, 55.709030
43700.000000, 55.617594
43800.000000, 55.511898
43900.000000, 55.413659
44000.000000, 55.323334
44100.000000, 55.276995
44200.000000, 55.184247
44300.000000, 55.074030
44400.000000, 54.975405
44500.000000, 54.938778
44600.000000, 54.856530
44700.000000, 54.790578
44800.000000, 54.692309
44900.000000, 54.611088
45000.000000, 54.515172
45100.000000, 54.523920
45200.000000, 54.449558
45300.000000, 54.331920
45400.000000, 54.244014
45500.000000, 54.148599
45600.000000, 54.081356
45700.000000, 54.122195
45800.000000, 54.142716
45900.000000, 54.072018
46000.000000, 54.023681
46100.000000, 53.934050
46200.000000, 53.878460
46300.000000, 53.808056
46400.000000, 53.777358
46500.000000, 53.711115
46600.000000, 53.676777
46700.000000, 53.661899
46800.000000, 53.603299
46900.000000, 53.652822
47000.000000, 53.597277
47100.000000, 53.553413
47200.000000, 54.108870
47300.000000, 54.068295
47400.000000, 54.009892
47500.000000, 54.088244
47600.000000, 54.046005
47700.000000, 53.983177
47800.000000, 53.954007
47900.000000, 53.913659
48000.000000, 53.888635
48100.000000, 54.291233
48200.000000, 54.320348
48300.000000, 54.289135
48400.000000, 54.307350
48500.000000, 54.366491
48600.000000, 54.381924
48700.000000, 54.322138
48800.000000, 54.257145
48900.000000, 54.275624
49000.000000, 54.330344
49100.000000, 54.360661
49200.000000, 54.330602
49300.000000, 54.396740
49400.000000, 54.369293
49500.000000, 54.346736
49600.000000, 54.400692
49700.000000, 54.438851
49800.000000, 54.561154
