# Total Data Received Average Delay
# simtime, appTotalDataReceivedAvgDelay
100.000000, 0.000000
200.000000, 155.558960
300.000000, 223.172473
400.000000, 271.361040
500.000000, 336.546315
600.000000, 361.265440
700.000000, 385.071642
800.000000, 448.457987
900.000000, 547.825317
1000.000000, 604.217108
1100.000000, 647.239623
1200.000000, 673.980874
1300.000000, 719.190709
1400.000000, 760.749276
1500.000000, 798.038609
1600.000000, 848.419886
1700.000000, 900.126720
1800.000000, 941.792889
1900.000000, 978.816071
2000.000000, 1023.164944
2100.000000, 1067.078415
2200.000000, 1115.140776
2300.000000, 1154.905487
2400.000000, 1184.119901
2500.000000, 1226.176598
2600.000000, 1263.544815
2700.000000, 1306.688409
2800.000000, 1349.068648
2900.000000, 1380.924006
3000.000000, 1429.212576
3100.000000, 1466.651175
3200.000000, 1511.401888
3300.000000, 1554.591493
3400.000000, 1590.032619
3500.000000, 1621.977262
3600.000000, 1662.332111
3700.000000, 1692.405004
3800.000000, 1717.890716
3900.000000, 1751.082889
4000.000000, 1781.396185
4100.000000, 1808.685311
4200.000000, 1826.508212
4300.000000, 1857.138718
4400.000000, 1884.957456
4500.000000, 1918.544466
4600.000000, 1947.964279
4700.000000, 1973.699314
4800.000000, 1991.732846
4900.000000, 2006.871733
5000.000000, 2022.481883
5100.000000, 2040.052865
5200.000000, 2056.554875
5300.000000, 2075.303914
5400.000000, 2090.501909
5500.000000, 2106.253279
5600.000000, 2123.793292
5700.000000, 2136.012840
5800.000000, 2150.223093
5900.000000, 2170.348528
6000.000000, 2186.952230
6100.000000, 2197.653017
6200.000000, 2205.448046
6300.000000, 2215.949906
6400.000000, 2227.227970
6500.000000, 2241.970180
6600.000000, 2253.966962
6700.000000, 2271.496103
6800.000000, 2286.991286
6900.000000, 2301.004442
7000.000000, 2315.894551
7100.000000, 2331.862977
7200.000000, 2348.681146
7300.000000, 2361.386520
7400.000000, 2371.461452
7500.000000, 2383.433294
7600.000000, 2391.290368
7700.000000, 2400.437839
7800.000000, 2407.685553
7900.000000, 2411.698451
8000.000000, 2421.619528
8100.000000, 2426.237907
8200.000000, 2432.863462
8300.000000, 2438.806725
8400.000000, 2445.104309
8500.000000, 2446.660814
8600.000000, 2446.568333
8700.000000, 2451.975171
8800.000000, 2457.240893
8900.000000, 2461.794567
9000.000000, 2464.464705
9100.000000, 2468.111048
9200.000000, 2471.435459
9300.000000, 2476.115691
9400.000000, 2482.802238
9500.000000, 2485.339184
9600.000000, 2486.842250
9700.000000, 2488.483288
9800.000000, 2488.571658
9900.000000, 2486.031272
10000.000000, 2485.116436
10100.000000, 2481.653647
10200.000000, 2481.954176
