# Total Contact Count
# simtime, linkContactCount
28000.000000, 48994
28100.000000, 49260
28200.000000, 49513
28300.000000, 49775
28400.000000, 50020
28500.000000, 50268
28600.000000, 50506
28700.000000, 50761
28800.000000, 51018
28900.000000, 51227
29000.000000, 51493
29100.000000, 51806
29200.000000, 52089
29300.000000, 52393
29400.000000, 52701
29500.000000, 52994
29600.000000, 53195
29700.000000, 53451
29800.000000, 53709
29900.000000, 53964
30000.000000, 54227
30100.000000, 54485
30200.000000, 54727
30300.000000, 55022
30400.000000, 55302
30500.000000, 55620
30600.000000, 55921
30700.000000, 56223
30800.000000, 56515
30900.000000, 56840
31000.000000, 57135
31100.000000, 57427
31200.000000, 57715
31300.000000, 57976
31400.000000, 58219
31500.000000, 58478
31600.000000, 58730
31700.000000, 59011
31800.000000, 59247
31900.000000, 59499
32000.000000, 59715
32100.000000, 59964
32200.000000, 60167
32300.000000, 60390
32400.000000, 60598
32500.000000, 60795
32600.000000, 61028
32700.000000, 61278
32800.000000, 61508
32900.000000, 61750
33000.000000, 61995
33100.000000, 62235
33200.000000, 62528
33300.000000, 62816
33400.000000, 63113
33500.000000, 63385
33600.000000, 63603
33700.000000, 63868
33800.000000, 64163
33900.000000, 64452
34000.000000, 64692
34100.000000, 64943
34200.000000, 65197
34300.000000, 65478
34400.000000, 65750
34500.000000, 66052
34600.000000, 66343
34700.000000, 66707
34800.000000, 66974
34900.000000, 67216
35000.000000, 67476
35100.000000, 67729
35200.000000, 67982
35300.000000, 68208
35400.000000, 68442
35500.000000, 68682
35600.000000, 68972
35700.000000, 69215
35800.000000, 69460
35900.000000, 69697
36000.000000, 69957
36100.000000, 70214
36200.000000, 70472
36300.000000, 70731
36400.000000, 71004
36500.000000, 71237
36600.000000, 71446
36700.000000, 71698
36800.000000, 71930
36900.000000, 72163
37000.000000, 72424
37100.000000, 72716
37200.000000, 72973
37300.000000, 73193
37400.000000, 73442
37500.000000, 73650
37600.000000, 73886
37700.000000, 74128
37800.000000, 74370
37900.000000, 74566
38000.000000, 74814
38100.000000, 75086
38200.000000, 75313
38300.000000, 75543
38400.000000, 75789
38500.000000, 76014
38600.000000, 76202
38700.000000, 76400
38800.000000, 76636
38900.000000, 76872
39000.000000, 77093
39100.000000, 77326
39200.000000, 77562
39300.000000, 77784
39400.000000, 78000
39500.000000, 78200
39600.000000, 78423
39700.000000, 78679
39800.000000, 78903
39900.000000, 79123
40000.000000, 79354
40100.000000, 79583
40200.000000, 79794
40300.000000, 79965
40400.000000, 80232
40500.000000, 80438
40600.000000, 80654
40700.000000, 80864
40800.000000, 81106
40900.000000, 81352
41000.000000, 81592
41100.000000, 81818
41200.000000, 82067
41300.000000, 82285
41400.000000, 82491
41500.000000, 82724
41600.000000, 82926
41700.000000, 83142
41800.000000, 83383
41900.000000, 83612
42000.000000, 83803
42100.000000, 84046
42200.000000, 84271
42300.000000, 84496
42400.000000, 84713
42500.000000, 84967
42600.000000, 85204
42700.000000, 85435
42800.000000, 85644
42900.000000, 85878
43000.000000, 86070
43100.000000, 86320
43200.000000, 86549
43300.000000, 86771
43400.000000, 86990
43500.000000, 87199
43600.000000, 87435
43700.000000, 87666
43800.000000, 87875
43900.000000, 88075
44000.000000, 88305
44100.000000, 88489
44200.000000, 88696
44300.000000, 88924
44400.000000, 89124
44500.000000, 89330
44600.000000, 89538
44700.000000, 89709
44800.000000, 89941
44900.000000, 90167
45000.000000, 90366
45100.000000, 90552
45200.000000, 90747
45300.000000, 91007
45400.000000, 91212
45500.000000, 91434
45600.000000, 91622
45700.000000, 91845
45800.000000, 92078
45900.000000, 92269
46000.000000, 92437
46100.000000, 92646
46200.000000, 92834
46300.000000, 93001
46400.000000, 93235
46500.000000, 93411
46600.000000, 93570
46700.000000, 93753
46800.000000, 93965
46900.000000, 94162
47000.000000, 94318
47100.000000, 94528
47200.000000, 94709
47300.000000, 94882
47400.000000, 95026
47500.000000, 95213
47600.000000, 95359
47700.000000, 95522
47800.000000, 95688
47900.000000, 95852
48000.000000, 96018
48100.000000, 96191
48200.000000, 96364
48300.000000, 96543
48400.000000, 96727
48500.000000, 96870
48600.000000, 97035
48700.000000, 97185
48800.000000, 97373
48900.000000, 97517
49000.000000, 97674
49100.000000, 97826
49200.000000, 97994
49300.000000, 98112
49400.000000, 98231
49500.000000, 98389
49600.000000, 98562
49700.000000, 98710
49800.000000, 98848
49900.000000, 98993
50000.000000, 99162
50100.000000, 99329
50200.000000, 99552
50300.000000, 99756
50400.000000, 99925
50500.000000, 100072
50600.000000, 100228
50700.000000, 100402
50800.000000, 100612
50900.000000, 100815
51000.000000, 100992
51100.000000, 101190
51200.000000, 101361
51300.000000, 101505
51400.000000, 101670
51500.000000, 101834
51600.000000, 101998
51700.000000, 102185
51800.000000, 102375
51900.000000, 102553
52000.000000, 102727
52100.000000, 102908
52200.000000, 103084
52300.000000, 103296
52400.000000, 103508
52500.000000, 103736
52600.000000, 103935
52700.000000, 104144
52800.000000, 104321
52900.000000, 104529
53000.000000, 104717
53100.000000, 104893
53200.000000, 105103
53300.000000, 105317
53400.000000, 105509
53500.000000, 105722
53600.000000, 105928
53700.000000, 106184
53800.000000, 106400
53900.000000, 106620
54000.000000, 106838
54100.000000, 107031
54200.000000, 107272
54300.000000, 107489
54400.000000, 107710
54500.000000, 107943
54600.000000, 108176
54700.000000, 108448
54800.000000, 108699
54900.000000, 108930
55000.000000, 109164
55100.000000, 109410
55200.000000, 109649
55300.000000, 109915
55400.000000, 110146
55500.000000, 110386
55600.000000, 110626
55700.000000, 110846
55800.000000, 111082
55900.000000, 111318
56000.000000, 111564
56100.000000, 111833
56200.000000, 112098
56300.000000, 112330
56400.000000, 112552
56500.000000, 112792
56600.000000, 113065
56700.000000, 113296
56800.000000, 113579
56900.000000, 113856
57000.000000, 114113
57100.000000, 114376
57200.000000, 114647
57300.000000, 114884
57400.000000, 115106
57500.000000, 115382
57600.000000, 115627
57700.000000, 115869
57800.000000, 116160
57900.000000, 116388
58000.000000, 116649
58100.000000, 116932
58200.000000, 117153
58300.000000, 117422
58400.000000, 117665
58500.000000, 117942
58600.000000, 118232
58700.000000, 118476
58800.000000, 118726
58900.000000, 118977
59000.000000, 119196
59100.000000, 119467
59200.000000, 119742
59300.000000, 120046
59400.000000, 120311
59500.000000, 120609
59600.000000, 120890
59700.000000, 121153
59800.000000, 121390
59900.000000, 121701
60000.000000, 121953
60100.000000, 122228
60200.000000, 122521
60300.000000, 122806
60400.000000, 123080
60500.000000, 123381
60600.000000, 123680
60700.000000, 123968
60800.000000, 124244
60900.000000, 124589
61000.000000, 124904
61100.000000, 125185
61200.000000, 125461
61300.000000, 125759
61400.000000, 126030
61500.000000, 126361
61600.000000, 126630
61700.000000, 126869
61800.000000, 127179
61900.000000, 127532
62000.000000, 127862
62100.000000, 128152
62200.000000, 128450
62300.000000, 128737
62400.000000, 128995
62500.000000, 129281
62600.000000, 129599
62700.000000, 129858
62800.000000, 130154
62900.000000, 130477
63000.000000, 130793
63100.000000, 131059
63200.000000, 131416
63300.000000, 131746
63400.000000, 132070
63500.000000, 132383
63600.000000, 132666
63700.000000, 132959
63800.000000, 133234
63900.000000, 133536
64000.000000, 133792
64100.000000, 134142
64200.000000, 134439
64300.000000, 134734
64400.000000, 135038
64500.000000, 135349
64600.000000, 135654
64700.000000, 135955
64800.000000, 136232
64900.000000, 136555
65000.000000, 136817
65100.000000, 137133
65200.000000, 137508
65300.000000, 137833
65400.000000, 138123
65500.000000, 138418
65600.000000, 138701
65700.000000, 139023
65800.000000, 139326
65900.000000, 139639
66000.000000, 139990
66100.000000, 140301
66200.000000, 140643
66300.000000, 141039
66400.000000, 141434
66500.000000, 141786
66600.000000, 142118
66700.000000, 142476
66800.000000, 142757
66900.000000, 143060
67000.000000, 143360
67100.000000, 143651
67200.000000, 143959
67300.000000, 144285
67400.000000, 144637
67500.000000, 144987
67600.000000, 145324
67700.000000, 145614
67800.000000, 145956
67900.000000, 146288
68000.000000, 146601
68100.000000, 146928
68200.000000, 147253
68300.000000, 147609
68400.000000, 147955
68500.000000, 148319
68600.000000, 148657
68700.000000, 148976
68800.000000, 149366
68900.000000, 149685
69000.000000, 149992
69100.000000, 150293
69200.000000, 150630
69300.000000, 150972
69400.000000, 151292
69500.000000, 151607
69600.000000, 151932
69700.000000, 152224
69800.000000, 152529
69900.000000, 152867
70000.000000, 153164
70100.000000, 153438
70200.000000, 153765
70300.000000, 154025
70400.000000, 154351
70500.000000, 154703
70600.000000, 155061
70700.000000, 155387
70800.000000, 155674
70900.000000, 155994
71000.000000, 156301
71100.000000, 156582
71200.000000, 156908
71300.000000, 157278
71400.000000, 157604
71500.000000, 157911
71600.000000, 158236
71700.000000, 158573
71800.000000, 158861
71900.000000, 159190
72000.000000, 159527
72100.000000, 159868
72200.000000, 160184
72300.000000, 160550
72400.000000, 160869
72500.000000, 161195
72600.000000, 161542
72700.000000, 161905
72800.000000, 162219
72900.000000, 162556
73000.000000, 162904
73100.000000, 163236
73200.000000, 163604
73300.000000, 163986
73400.000000, 164306
73500.000000, 164661
73600.000000, 165047
73700.000000, 165382
73800.000000, 165714
73900.000000, 166097
74000.000000, 166495
74100.000000, 166880
74200.000000, 167218
74300.000000, 167552
74400.000000, 167928
74500.000000, 168278
74600.000000, 168616
74700.000000, 168974
74800.000000, 169288
74900.000000, 169617
75000.000000, 169964
75100.000000, 170295
75200.000000, 170642
75300.000000, 170964
75400.000000, 171280
75500.000000, 171605
75600.000000, 171909
75700.000000, 172309
75800.000000, 172678
75900.000000, 173008
76000.000000, 173293
76100.000000, 173624
76200.000000, 173937
76300.000000, 174288
76400.000000, 174628
76500.000000, 174968
76600.000000, 175297
76700.000000, 175633
76800.000000, 175938
76900.000000, 176312
77000.000000, 176641
77100.000000, 176994
77200.000000, 177370
77300.000000, 177676
77400.000000, 178005
77500.000000, 178335
77600.000000, 178696
77700.000000, 179051
77800.000000, 179429
77900.000000, 179772
78000.000000, 180129
78100.000000, 180537
78200.000000, 180884
78300.000000, 181218
78400.000000, 181549
78500.000000, 181878
78600.000000, 182192
78700.000000, 182536
78800.000000, 182863
78900.000000, 183154
79000.000000, 183451
79100.000000, 183786
79200.000000, 184164
79300.000000, 184485
79400.000000, 184815
79500.000000, 185156
79600.000000, 185520
79700.000000, 185822
79800.000000, 186157
79900.000000, 186494
80000.000000, 186813
80100.000000, 187184
80200.000000, 187524
80300.000000, 187877
80400.000000, 188158
80500.000000, 188488
80600.000000, 188855
80700.000000, 189187
80800.000000, 189526
80900.000000, 189846
81000.000000, 190164
81100.000000, 190473
81200.000000, 190752
81300.000000, 191056
81400.000000, 191376
81500.000000, 191714
81600.000000, 192030
81700.000000, 192338
81800.000000, 192612
81900.000000, 192877
82000.000000, 193154
82100.000000, 193420
82200.000000, 193704
82300.000000, 194009
82400.000000, 194316
82500.000000, 194592
82600.000000, 194887
82700.000000, 195181
82800.000000, 195427
82900.000000, 195749
83000.000000, 196018
83100.000000, 196262
83200.000000, 196529
83300.000000, 196754
83400.000000, 197032
83500.000000, 197260
83600.000000, 197538
83700.000000, 197793
