# Total Contact Count
# simtime, linkContactCount
100.000000, 0
200.000000, 0
300.000000, 0
400.000000, 0
500.000000, 0
600.000000, 0
700.000000, 0
800.000000, 0
900.000000, 0
1000.000000, 0
1100.000000, 1
1200.000000, 2
1300.000000, 2
1400.000000, 2
1500.000000, 2
1600.000000, 3
1700.000000, 3
1800.000000, 3
1900.000000, 3
2000.000000, 3
2100.000000, 3
2200.000000, 4
2300.000000, 6
2400.000000, 6
2500.000000, 6
2600.000000, 6
2700.000000, 6
2800.000000, 6
2900.000000, 7
3000.000000, 7
3100.000000, 7
3200.000000, 8
3300.000000, 9
3400.000000, 9
3500.000000, 10
3600.000000, 10
3700.000000, 10
3800.000000, 11
3900.000000, 12
4000.000000, 13
4100.000000, 13
4200.000000, 13
4300.000000, 13
4400.000000, 14
4500.000000, 14
4600.000000, 14
4700.000000, 14
4800.000000, 14
4900.000000, 14
5000.000000, 14
5100.000000, 15
5200.000000, 15
5300.000000, 15
5400.000000, 15
5500.000000, 15
5600.000000, 15
5700.000000, 15
5800.000000, 16
5900.000000, 16
6000.000000, 16
6100.000000, 17
6200.000000, 17
6300.000000, 17
6400.000000, 18
6500.000000, 18
6600.000000, 18
6700.000000, 18
6800.000000, 20
6900.000000, 21
7000.000000, 22
7100.000000, 23
7200.000000, 24
7300.000000, 24
7400.000000, 28
7500.000000, 31
7600.000000, 32
7700.000000, 33
7800.000000, 34
7900.000000, 35
8000.000000, 35
8100.000000, 36
8200.000000, 36
8300.000000, 37
8400.000000, 38
8500.000000, 38
8600.000000, 38
8700.000000, 38
8800.000000, 38
8900.000000, 38
9000.000000, 38
9100.000000, 39
9200.000000, 39
9300.000000, 39
9400.000000, 39
9500.000000, 40
9600.000000, 41
9700.000000, 41
9800.000000, 41
9900.000000, 41
10000.000000, 41
10100.000000, 41
10200.000000, 44
10300.000000, 44
10400.000000, 46
10500.000000, 46
10600.000000, 47
10700.000000, 51
10800.000000, 52
10900.000000, 55
11000.000000, 57
11100.000000, 58
11200.000000, 58
11300.000000, 59
11400.000000, 60
11500.000000, 61
11600.000000, 61
11700.000000, 61
11800.000000, 62
11900.000000, 62
12000.000000, 62
12100.000000, 62
12200.000000, 62
12300.000000, 62
12400.000000, 62
12500.000000, 65
12600.000000, 65
12700.000000, 65
12800.000000, 65
12900.000000, 65
13000.000000, 65
13100.000000, 65
13200.000000, 65
